[=== Module python/3.9 loaded ===]
/home/mila/y/yuyan.chen/mothenv/lib/python3.10/site-packages/torchaudio/functional/functional.py:584: UserWarning: At least one mel filterbank has all zero values. The value for `n_mels` (128) may be set too high. Or, the value for `n_freqs` (257) may be set too low.
  warnings.warn(
wandb: Currently logged in as: yuyan-chen2 (mila-org-test). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.17.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.17.1
wandb: Run data is saved locally in /home/mila/y/yuyan.chen/projects/anuraset/wandb/run-20240714_125024-47doqrhb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run resnet18_INCT20955_baseline_5045637
wandb: ⭐️ View project at https://wandb.ai/mila-org-test/anuraset
wandb: 🚀 View run at https://wandb.ai/mila-org-test/anuraset/runs/47doqrhb
Using config "/home/mila/y/yuyan.chen/projects/anuraset/baseline/configs/exp_resnet18.yaml"
Using device cuda
There are 18111 samples in the training set.
There are 9147 samples in the test set.
Starting new model
Starting training
[01/10][00000/00565]  ETA: 1:06:49 -  loss: 0.7237 -  f1 macro: 26.49%
[08/10][00350/00565]  ETA: 0:00:16 -  loss: 0.0859 -  f1 macro: 68.99%
[08/10][00400/00565]  ETA: 0:00:12 -  loss: 0.0862 -  f1 macro: 68.83%
[08/10][00450/00565]  ETA: 0:00:08 -  loss: 0.0858 -  f1 macro: 68.84%
[08/10][00500/00565]  ETA: 0:00:05 -  loss: 0.0864 -  f1 macro: 68.54%
[08/10][00550/00565]  ETA: 0:00:01 -  loss: 0.0858 -  f1 macro: 68.67%
[09/10][00000/00565]  ETA: 0:07:45 -  loss: 0.0551 -  f1 macro: 80.42%
[09/10][00050/00565]  ETA: 0:00:46 -  loss: 0.0808 -  f1 macro: 71.41%
[09/10][00100/00565]  ETA: 0:00:39 -  loss: 0.0824 -  f1 macro: 70.49%
[09/10][00150/00565]  ETA: 0:00:33 -  loss: 0.0800 -  f1 macro: 70.19%
[09/10][00200/00565]  ETA: 0:00:29 -  loss: 0.0808 -  f1 macro: 69.34%
[09/10][00250/00565]  ETA: 0:00:25 -  loss: 0.0808 -  f1 macro: 69.55%
[09/10][00300/00565]  ETA: 0:00:20 -  loss: 0.0800 -  f1 macro: 69.31%
[09/10][00350/00565]  ETA: 0:00:16 -  loss: 0.0809 -  f1 macro: 69.06%
[09/10][00400/00565]  ETA: 0:00:12 -  loss: 0.0813 -  f1 macro: 69.12%
[09/10][00450/00565]  ETA: 0:00:09 -  loss: 0.0805 -  f1 macro: 68.98%
[09/10][00500/00565]  ETA: 0:00:05 -  loss: 0.0805 -  f1 macro: 69.15%
[09/10][00550/00565]  ETA: 0:00:01 -  loss: 0.0807 -  f1 macro: 69.18%
[10/10][00000/00565]  ETA: 0:07:28 -  loss: 0.0760 -  f1 macro: 73.95%
[10/10][00050/00565]  ETA: 0:00:46 -  loss: 0.0786 -  f1 macro: 71.74%
[10/10][00100/00565]  ETA: 0:00:38 -  loss: 0.0772 -  f1 macro: 70.58%
[10/10][00150/00565]  ETA: 0:00:33 -  loss: 0.0756 -  f1 macro: 69.82%
[10/10][00200/00565]  ETA: 0:00:29 -  loss: 0.0753 -  f1 macro: 70.51%
[10/10][00250/00565]  ETA: 0:00:25 -  loss: 0.0802 -  f1 macro: 69.62%
[10/10][00300/00565]  ETA: 0:00:20 -  loss: 0.0808 -  f1 macro: 69.11%
[10/10][00350/00565]  ETA: 0:00:16 -  loss: 0.0801 -  f1 macro: 69.16%
[10/10][00400/00565]  ETA: 0:00:12 -  loss: 0.0799 -  f1 macro: 69.26%
[10/10][00450/00565]  ETA: 0:00:08 -  loss: 0.0803 -  f1 macro: 69.51%
[10/10][00500/00565]  ETA: 0:00:05 -  loss: 0.0806 -  f1 macro: 69.39%
[10/10][00550/00565]  ETA: 0:00:01 -  loss: 0.0808 -  f1 macro: 69.37%
Finished training
Trained feed forward net saved at /network/scratch/y/yuyan.chen/resnet18_INCT20955/5045637/model_states/final.pth
wandb: - 44.716 MB of 44.716 MB uploadedwandb: \ 44.716 MB of 44.716 MB uploadedwandb: | 44.716 MB of 44.716 MB uploadedwandb: / 44.716 MB of 44.716 MB uploadedwandb: - 44.716 MB of 44.716 MB uploadedwandb: \ 44.721 MB of 44.732 MB uploaded (0.002 MB deduped)wandb: 
wandb: Run history:
wandb: time_per_epoch █▁▁▁▅▂▁▁▁▁
wandb:     train/loss █▃▂▂▂▁▁▁▁▁
wandb: train/macro-f1 ▁▄▆▆▇▇████
wandb:       val/loss ▂▂▁▁█▁▁▁▁▁
wandb:   val/macro-f1 ▁▅▆▇▆▆▆█▇█
wandb: 
wandb: Run summary:
wandb: time_per_epoch 60
wandb:     train/loss 0.08067
wandb: train/macro-f1 0.69382
wandb:       val/loss 0.25496
wandb:   val/macro-f1 0.56797
wandb: 
wandb: 🚀 View run resnet18_INCT20955_baseline_5045637 at: https://wandb.ai/mila-org-test/anuraset/runs/47doqrhb
wandb: ⭐️ View project at: https://wandb.ai/mila-org-test/anuraset
wandb: Synced 5 W&B file(s), 0 media file(s), 3 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20240714_125024-47doqrhb/logs

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Sun Jul 14 13:00:50 2024
Driver Version                            : 535.161.08
CUDA Version                              : 12.2

Attached GPUs                             : 1
GPU 00000000:28:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes
        Process ID                        : 3742235
            GPU Utilization               : 76 %
            Memory Utilization            : 58 %
            Max memory usage              : 4216 MiB
            Time                          : 633143 ms
            Is Running                    : 0

Sun Jul 14 13:00:50 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.161.08             Driver Version: 535.161.08   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Quadro RTX 8000                On  | 00000000:28:00.0 Off |                    0 |
| 33%   48C    P2              77W / 260W |      1MiB / 46080MiB |     31%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
